[*] AdventOfCode 2018 - day 24 part A
[*] current army: Immune System
[*] current army: Infection
[DEBUG] targt selection order:
[DEBUG]   Immune System 3: ep:96650, inititive: 13
[DEBUG]   Infection 8: ep:88770, inititive: 6
[DEBUG]   Immune System 7: ep:77664, inititive: 18
[DEBUG]   Infection 3: ep:73321, inititive: 11
[DEBUG]   Immune System 1: ep:65088, inititive: 7
[DEBUG]   Infection 4: ep:63168, inititive: 10
[DEBUG]   Immune System 6: ep:55811, inititive: 20
[DEBUG]   Infection 2: ep:48438, inititive: 9
[DEBUG]   Infection 6: ep:43305, inititive: 8
[DEBUG]   Infection 7: ep:38490, inititive: 5
[DEBUG]   Infection 10: ep:37440, inititive: 15
[DEBUG]   Infection 5: ep:31962, inititive: 3
[DEBUG]   Immune System 5: ep:29750, inititive: 19
[DEBUG]   Infection 9: ep:29184, inititive: 12
[DEBUG]   Immune System 8: ep:28566, inititive: 17
[DEBUG]   Immune System 9: ep:25200, inititive: 14
[DEBUG]   Immune System 4: ep:24128, inititive: 4
[DEBUG]   Infection 1: ep:20272, inititive: 1
[DEBUG]   Immune System 2: ep:15670, inititive: 16
[DEBUG]   Immune System 10: ep:10926, inititive: 2
[DEBUG] 
[DEBUG] Immune System 6 attacks Infection 4 killing 3 units (damage: 111622, hp: 34281)
[DEBUG] Immune System 5 attacks Infection 7 killing 1 units (damage: 29750, hp: 25737)
[DEBUG] Immune System 7 attacks Infection 5 killing 3 units (damage: 77664, hp: 21299)
[DEBUG] Immune System 8 attacks Infection 1 killing 2 units (damage: 28566, hp: 11409)
[DEBUG] Immune System 2 attacks Infection 8 killing 0 units (damage: 15670, hp: 63467)
[DEBUG] Infection 10 attacks Immune System 2 killing 19 units (damage: 37440, hp: 1909)
[DEBUG] Immune System 9 attacks Infection 3 killing 1 units (damage: 50400, hp: 36803)
[DEBUG] Immune System 3 attacks Infection 2 killing 7 units (damage: 193300, hp: 24309)
[DEBUG] Infection 9 attacks Immune System 7 killing 3 units (damage: 29184, hp: 8589)
[DEBUG] Infection 3 attacks Immune System 6 killing 19 units (damage: 146188, hp: 7509)
[DEBUG] Infection 4 attacks Immune System 4 killing 20 units (damage: 63132, hp: 3101)
[DEBUG] Infection 2 attacks Immune System 1 killing 6 units (damage: 45981, hp: 6787)
[DEBUG] Infection 6 attacks Immune System 3 killing 4 units (damage: 43305, hp: 10217)
[DEBUG] Immune System 1 attacks Infection 6 killing 4 units (damage: 127872, hp: 28468)
[DEBUG] Infection 8 attacks Immune System 10 killing 50 units (damage: 88770, hp: 1741)
[DEBUG] Infection 7 attacks Immune System 9 killing 11 units (damage: 38460, hp: 3301)
[DEBUG] Immune System 4 attacks Infection 10 killing 1 units (damage: 24048, hp: 19161)
[DEBUG] Infection 5 attacks Immune System 8 killing 10 units (damage: 31944, hp: 3025)
[DEBUG] Infection 1 attacks Immune System 5 killing 6 units (damage: 20264, hp: 3123)
[DEBUG] 
[DEBUG] armies: set(['Infection', 'Immune System'])
[DEBUG] targt selection order:
[DEBUG]   Immune System 3: ep:96550, inititive: 13
[DEBUG]   Infection 8: ep:88770, inititive: 6
[DEBUG]   Immune System 7: ep:77628, inititive: 18
[DEBUG]   Infection 3: ep:73094, inititive: 11
